source_index,sample_seed,source_split,source_split_id,geometry_id,geometry_partition,assignment_seed,assignment_rule,mask_bits,active_angles_degrees,family_id,noise_level
0,30260821,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",0,0.02
1,30260822,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",0,0.05
2,30260823,train,0,g_011001111,train,20261221,sha256 source ordering + balanced cyclic geometry,011001111,"20,40,100,120,140,160",0,0.02
3,30260824,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",0,0.05
4,30260825,train,0,g_111001011,train,20261221,sha256 source ordering + balanced cyclic geometry,111001011,"0,20,40,100,140,160",0,0.02
5,30260826,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",0,0.05
6,30260827,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",1,0.02
7,30260828,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",1,0.05
8,30260829,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",1,0.02
9,30260830,train,0,g_101010111,train,20261221,sha256 source ordering + balanced cyclic geometry,101010111,"0,40,80,120,140,160",1,0.05
10,30260831,train,0,g_111011100,train,20261221,sha256 source ordering + balanced cyclic geometry,111011100,"0,20,40,80,100,120",1,0.02
11,30260832,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",1,0.05
12,30260833,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",0,0.02
13,30260834,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",0,0.05
14,30260835,train,0,g_101011011,train,20261221,sha256 source ordering + balanced cyclic geometry,101011011,"0,40,80,100,140,160",0,0.02
15,30260836,train,0,g_101011101,train,20261221,sha256 source ordering + balanced cyclic geometry,101011101,"0,40,80,100,120,160",0,0.05
16,30260837,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",0,0.02
17,30260838,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",0,0.05
18,30260839,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",1,0.02
19,30260840,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",1,0.05
20,30260841,train,0,g_110011101,train,20261221,sha256 source ordering + balanced cyclic geometry,110011101,"0,20,80,100,120,160",1,0.02
21,30260842,train,0,g_001011111,train,20261221,sha256 source ordering + balanced cyclic geometry,001011111,"40,80,100,120,140,160",1,0.05
22,30260843,train,0,g_110011011,train,20261221,sha256 source ordering + balanced cyclic geometry,110011011,"0,20,80,100,140,160",1,0.02
23,30260844,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",1,0.05
24,30260845,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",0,0.02
25,30260846,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",0,0.05
26,30260847,train,0,g_011011011,train,20261221,sha256 source ordering + balanced cyclic geometry,011011011,"20,40,80,100,140,160",0,0.02
27,30260848,train,0,g_110010111,train,20261221,sha256 source ordering + balanced cyclic geometry,110010111,"0,20,80,120,140,160",0,0.05
28,30260849,train,0,g_110011110,train,20261221,sha256 source ordering + balanced cyclic geometry,110011110,"0,20,80,100,120,140",0,0.02
29,30260850,train,0,g_011011110,train,20261221,sha256 source ordering + balanced cyclic geometry,011011110,"20,40,80,100,120,140",0,0.05
30,30260851,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",1,0.02
31,30260852,train,0,g_101001111,train,20261221,sha256 source ordering + balanced cyclic geometry,101001111,"0,40,100,120,140,160",1,0.05
32,30260853,train,0,g_111010101,train,20261221,sha256 source ordering + balanced cyclic geometry,111010101,"0,20,40,80,120,160",1,0.02
