scenario,expected_role,trial,parameter_name,parameter_value,probe_count,maximum_dot_relative_defect,maximum_gamma_scaled_normwise_score,median_gamma_scaled_normwise_score,minimum_dot_signal,maximum_dot_condition_proxy,traditional_dot_gate,fd_relative_error,structure_relative_error,actual_forward_branch_changed,diagnostic_support_changed
clean_general,clean_should_pass,0,none,0.0,1,6.774792116763032e-16,1.2755568690726757e-05,1.2755568690726757e-05,0.01024222409236463,97.3731352368863,True,0.0,0.0,False,False
clean_general,clean_should_pass,0,none,0.0,2,1.0074356504750973e-15,1.5944460863408442e-05,1.43500147770676e-05,0.008609599407955871,115.83784847768007,True,0.0,0.0,False,False
clean_general,clean_should_pass,0,none,0.0,4,4.631716089408031e-15,0.00010204454952581403,2.949725259730562e-05,0.005056174962718839,197.2474210299147,True,0.0,0.0,False,False
clean_general,clean_should_pass,0,none,0.0,8,1.5737123917188693e-13,0.00011559734125971122,5.234267542815803e-05,0.0002130564159026073,4681.001825019959,True,0.0,0.0,False,False
clean_general,clean_should_pass,0,none,0.0,16,1.5737123917188693e-13,0.00011559734125971122,4.2252821288032375e-05,0.0002130564159026073,4681.001825019959,True,0.0,0.0,False,False
clean_low_bilinear_signal,clean_should_pass_but_signal_relative_can_false_reject,0,none,0.0,1,1.025078369905956,0.00013237930686584113,0.00013237930686584113,6.917209860457518e-17,1.4196457049788688e+16,False,0.0,0.0,False,False
clean_low_bilinear_signal,clean_should_pass_but_signal_relative_can_false_reject,0,none,0.0,2,1.025078369905956,0.00013237930686584113,7.590556586344101e-05,6.917209860457518e-17,1.4196457049788688e+16,False,0.0,0.0,False,False
clean_low_bilinear_signal,clean_should_pass_but_signal_relative_can_false_reject,0,none,0.0,4,1.025078369905956,0.00013237930686584113,4.210228719892195e-05,6.917209860457518e-17,1.4196457049788688e+16,False,0.0,0.0,False,False
clean_low_bilinear_signal,clean_should_pass_but_signal_relative_can_false_reject,0,none,0.0,8,1.025078369905956,0.00013237930686584113,6.153411205996284e-05,6.917209860457518e-17,1.4196457049788688e+16,False,0.0,0.0,False,False
clean_low_bilinear_signal,clean_should_pass_but_signal_relative_can_false_reject,0,none,0.0,16,1.025078369905956,0.00015707391762674727,5.343751836786248e-05,6.917209860457518e-17,1.4196457049788688e+16,False,0.0,0.0,False,False
diagnostic_only_support_flip,clean_current_forward_report_only,0,none,0.0,1,6.774792116763032e-16,1.2755568690726757e-05,1.2755568690726757e-05,0.01024222409236463,97.3731352368863,True,0.0,0.0,False,True
diagnostic_only_support_flip,clean_current_forward_report_only,0,none,0.0,2,1.0074356504750973e-15,1.5944460863408442e-05,1.43500147770676e-05,0.008609599407955871,115.83784847768007,True,0.0,0.0,False,True
diagnostic_only_support_flip,clean_current_forward_report_only,0,none,0.0,4,4.631716089408031e-15,0.00010204454952581403,2.949725259730562e-05,0.005056174962718839,197.2474210299147,True,0.0,0.0,False,True
diagnostic_only_support_flip,clean_current_forward_report_only,0,none,0.0,8,1.5737123917188693e-13,0.00011559734125971122,5.234267542815803e-05,0.0002130564159026073,4681.001825019959,True,0.0,0.0,False,True
diagnostic_only_support_flip,clean_current_forward_report_only,0,none,0.0,16,1.5737123917188693e-13,0.00011559734125971122,4.2252821288032375e-05,0.0002130564159026073,4681.001825019959,True,0.0,0.0,False,True
vjp_aligned_fault,fault_should_reject_by_adjoint,0,relative_fault_magnitude,1e-12,1,9.737256275652736e-11,1.8333291878885836,1.8333291878885836,0.010242224093361941,97.37313522740583,True,0.0,0.0,False,False
vjp_aligned_fault,fault_should_reject_by_adjoint,0,relative_fault_magnitude,1e-12,2,9.737256275652736e-11,1.8333291878885836,0.9261547370501924,0.008609599407966196,115.83784847754234,True,0.0,0.0,False,False
vjp_aligned_fault,fault_should_reject_by_adjoint,0,relative_fault_magnitude,1e-12,4,9.737256275652736e-11,1.8333291878885836,0.03203082742850089,0.005056174962720091,197.24742102986787,True,0.0,0.0,False,False
vjp_aligned_fault,fault_should_reject_by_adjoint,0,relative_fault_magnitude,1e-12,8,9.737256275652736e-11,1.8333291878885836,0.017051006447328813,0.0002130564159026073,4681.001825020007,True,0.0,0.0,False,False
vjp_aligned_fault,fault_should_reject_by_adjoint,0,relative_fault_magnitude,1e-12,16,9.737256275652736e-11,1.8333291878885836,0.017951868486111383,0.0002130564159026073,4681.001825020007,True,0.0,0.0,False,False
vjp_first_probe_blind_fault,fault_needs_multiple_random_tangents,0,relative_fault_magnitude,1e-12,1,8.468490145953789e-16,1.594446086340846e-05,1.594446086340846e-05,0.01024222409236463,97.3731352368862,True,0.0,0.0,False,False
vjp_first_probe_blind_fault,fault_needs_multiple_random_tangents,0,relative_fault_magnitude,1e-12,2,1.8002875073957578e-12,0.028492751562910913,0.01425434801188716,0.008609599407971371,115.83784847747141,True,0.0,0.0,False,False
vjp_first_probe_blind_fault,fault_needs_multiple_random_tangents,0,relative_fault_magnitude,1e-12,4,1.8002875073957578e-12,0.028492751562910913,0.010339185646877214,0.0050561749627220515,197.2474210297892,True,0.0,0.0,False,False
vjp_first_probe_blind_fault,fault_needs_multiple_random_tangents,0,relative_fault_magnitude,1e-12,8,4.910130434985845e-11,0.05814466543059162,0.01039830471817232,0.0002130564159026073,4681.001825019955,True,0.0,0.0,False,False
vjp_first_probe_blind_fault,fault_needs_multiple_random_tangents,0,relative_fault_magnitude,1e-12,16,4.910130434985845e-11,0.05814466543059162,0.014298992502304705,0.0002130564159026073,4681.001825019955,True,0.0,0.0,False,False
jvp_aligned_fault,fault_should_reject_by_adjoint_and_fd,0,relative_fault_magnitude,1e-12,1,3.816071029555136e-12,0.07184892954269113,0.07184892954269113,0.010242224092403707,97.37313523651478,True,1.0000301943470053e-12,0.0,False,False
jvp_aligned_fault,fault_should_reject_by_adjoint_and_fd,0,relative_fault_magnitude,1e-12,2,5.1629062215547836e-12,0.08171217303279558,0.07678055128774336,0.008609599407955863,115.83784847768018,True,1.0000301943470053e-12,0.0,False,False
