candidate_id,partition,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,geometry_cluster_count,case_count,mean_field_gain_over_low_cgls24,mean_h1_gain_over_low_cgls24,mean_field_gain_over_component_damping,mean_field_gain_over_high_order_teacher_b0p75,worst_case_field_gain_over_low_cgls24,worst_geometry_field_gain_over_low_cgls24,worst_case_field_gain_over_component_damping,case_harm_over_one_percent_rate_vs_low,case_harm_over_one_percent_rate_vs_component_damping,takeover_rate,fallback_rate,evaluator_mean_adjoint_residual_gain_over_component_damping,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only,mean_exact_oracle_field_gain_retention,family_mean_field_gain_over_component_damping
camera_block6_total_adjoint_oracle,development,,6,,,,6,12,0.05232423141500373,0.1251380733554146,0.016837456713239884,0.006226120759222816,0.00686064651239493,0.01870356515060334,-0.018663447103205666,0.0,0.16666666666666666,1.0,0.0,0.1176848337062993,25,24,0,0,True,0.6146675275951485,"{'single_interface': 0.03828487552323867, 'smooth_no_interface': -0.004609962096758902}"
camera_block6_total_measurement_oracle,development,,6,,,,6,12,0.06343460925759088,0.13202709055466486,0.02874248670833242,0.01840285964736063,0.015384300981936438,0.029744587473560125,-0.0001520925714171284,0.0,0.0,1.0,0.0,0.09473980764861094,25,24,0,0,True,0.7451842747019723,"{'single_interface': 0.05707281074556969, 'smooth_no_interface': 0.00041216267109515464}"
component_damping,development,,,,,,6,12,0.03720064444663195,0.10774875470046907,0.0,-0.0113351301075173,0.0016665345630942907,0.010943165553555234,0.0,0.0,0.0,1.0,0.0,,25,24,0,0,False,0.43700647918930974,"{'single_interface': 0.0, 'smooth_no_interface': 0.0}"
detector_moment_krylov6_total_adjoint_oracle,development,,6,,,,6,12,0.049199912350164215,0.12652204765783767,0.01341439097695818,0.0026420867648343136,0.011868703006540637,0.02504960182185889,-0.004529514422354275,0.0,0.0,1.0,0.0,0.09776161069318821,25,24,0,0,True,0.5779652689461544,"{'single_interface': 0.029460026603688034, 'smooth_no_interface': -0.0026312446497716766}"
detector_moment_krylov6_total_measurement_oracle,development,,6,,,,6,12,0.05481151478950177,0.12517709429458385,0.019427280064494817,0.008799053688980327,0.016210495415622583,0.029002545837888527,0.00015612291469591089,0.0,0.0,1.0,0.0,0.08169138322684584,25,24,0,0,True,0.6438863480323817,"{'single_interface': 0.03793014647066791, 'smooth_no_interface': 0.0009244136583217247}"
exact_mismatch_oracle,development,,4,,,,6,12,0.08512607070641796,0.1146025413527871,0.051900854147615805,0.04207349356895073,0.02201611647556967,0.04438189866766257,0.007940172499303011,0.0,0.0,1.0,0.0,1.0,25,24,0,0,True,1.0,"{'single_interface': 0.09411780683450309, 'smooth_no_interface': 0.009683901460728525}"
fit_pca2_krylov6_total_adjoint_oracle,development,,6,,,,6,12,0.047518972951672594,0.07702976402684693,0.010935924883533621,-0.00015309677595627216,0.01308093223264395,0.029961204566393673,-0.0011236142236226154,0.0,0.0,1.0,0.0,0.40534671391442295,25,24,0,0,True,0.5582187989805802,"{'single_interface': 0.01839831208687248, 'smooth_no_interface': 0.0034735376801947604}"
fit_pca2_krylov6_total_measurement_oracle,development,,6,,,,6,12,0.0563549042375369,0.09094623785602511,0.020897490834765785,0.01021369226677274,0.019872058996918907,0.034033200951104126,0.00525899615781944,0.0,0.0,1.0,0.0,0.38947197802664396,25,24,0,0,True,0.6620169798732187,"{'single_interface': 0.0360501773461945, 'smooth_no_interface': 0.005744804323337072}"
high_order_teacher_b0p75,development,,4,,,,6,12,0.0473413107574621,0.10827046335347555,0.011013366276942873,0.0,0.016661674373196322,0.02156629149633349,0.00250866488662127,0.0,0.0,1.0,0.0,0.17684262055148117,25,24,1,0,True,0.5561317509970874,"{'single_interface': 0.018818800484403393, 'smooth_no_interface': 0.003207932069482352}"
krylov4_total_adjoint_oracle,development,,4,,,,6,12,0.04458035127512367,0.08479667785923108,0.007745385819232814,-0.0034032369990483016,0.011766144650997568,0.024313088554374584,-0.0030494563383729467,0.0,0.0,1.0,0.0,0.2789501251886487,25,24,0,0,True,0.5236979800098138,"{'single_interface': 0.01524976277890159, 'smooth_no_interface': 0.0002410088595640366}"
krylov4_total_measurement_oracle,development,,4,,,,6,12,0.0531939811228499,0.09695492200701304,0.017344441909923958,0.006539850376801705,0.018228023609620392,0.030505320443424355,0.0031304954006673436,0.0,0.0,1.0,0.0,0.2702544078555209,25,24,0,0,True,0.6248847231103245,"{'single_interface': 0.030662572822510004, 'smooth_no_interface': 0.004026310997337912}"
low_cgls24_matched,development,,,,,,6,12,0.0,0.0,-0.04041775495623769,-0.05279998887587852,0.0,0.0,-0.18042607957932244,0.0,0.9166666666666666,1.0,0.0,,25,24,0,0,False,0.0,"{'single_interface': -0.062335163462689046, 'smooth_no_interface': -0.018500346449786337}"
pose_fourier_krylov6_total_adjoint_oracle,development,,6,,,,6,12,0.051307753677362095,0.12545752008311434,0.015537044754275994,0.004835471400725895,0.003303496591469224,0.01775588280020568,-0.021066257938452404,0.0,0.25,1.0,0.0,0.10570760566689896,25,24,0,0,True,0.602726676464509,"{'single_interface': 0.03639924864298849, 'smooth_no_interface': -0.005325159134436504}"
pose_fourier_krylov6_total_measurement_oracle,development,,6,,,,6,12,0.06148035009362852,0.1336945326445108,0.026451139228205394,0.015995133969353138,0.015450196407018169,0.029388036276963847,0.0001406356386762786,0.0,0.0,1.0,0.0,0.08416542227264194,25,24,0,0,True,0.7222270402408376,"{'single_interface': 0.05219587403896712, 'smooth_no_interface': 0.000706404417443666}"
