rig_id,split_role,geometry_seed_sha256,noise_seed_sha256,geometry_feature_sha256,geometry_feature_0,geometry_feature_1,geometry_feature_2,geometry_feature_3,geometry_feature_4,geometry_feature_5
cal-00,safety_calibration,9c74ece0bc71e3ee2067251083deb02c98f7311e03eb84e06107e176e621044b,4ef041e60f508a511faa16524b14051f8d6e9275209cacd5049b771567ceffb7,9539f65d1bc9c7ae9c4f8099eaa2dd1e94bd786d1937b47242fd791f75cf3a24,-0.4077342741298603,-0.5750255598431645,0.7179998005659533,-0.03354504069467007,0.9472811927570887,0.8758584668740498
cal-01,safety_calibration,ea74b7a48a23d8171d80d0d58446b0b435e9a01cc3cc940a4f6d82aaba689708,ec0bc21d3af72e9afef4ea43c4e098517bf26020309b82ea073118df8b14daa8,60adc1dc7104522b4991f92c91f4a83c3a100059e15a9bd62f19e3b5bafba8bf,-0.6880844785344339,-0.14206524809636112,0.9899655459418715,0.023636319889798474,0.9781191730733232,0.8837924458351063
cal-02,safety_calibration,01be252697f64e0a20ba4ed90ebed39139e4e26abd8c21f46c5114b4a193d700,9b4ee2594e4f4bdf5306b61b44f7a8c96318c31a2ca8f8a40d20a6c39eb42a13,ee86b1683d266872d79038f1281eed9507930a791445e1ed8d0cde139f802243,0.38998568900679487,-0.13814809841221332,0.8151247437394735,-0.19352413876695476,0.9141345166131033,0.9589577763789772
cal-03,safety_calibration,feb3e680b55ea61d789035acbd337012485745a52cb33c8dfb09840a209afc02,63fcd9b4d4227c95fa7e1b5cebfa0ffbf62447d570ebc8dd0a0f5c0aa9a0e7fa,67500a4b89baae759fcf7fe79deee015c2d7927165b420b9c96d46c25017f21f,0.799461916672802,-0.27069955490746644,0.9992367382917651,-0.01648522666297808,0.829441754733386,0.7137801695911856
cal-04,safety_calibration,27338230adf52de2db8335732915767897dd92b61890bf75bf82e3a4a6098892,33ae5adfdf64b8684576c675e7326c1f06e888da221437db404bd3ccf0b81192,3c977b4ea9fa1ae019365797912fe0dc871644d4a7e219325337b2b1e6ab918b,0.11818409218134895,-0.07392003760827082,0.9868375980101393,-0.26768451324504206,0.886513334216254,0.9330839412029772
cal-05,safety_calibration,6dfa6ed57b0a9758659c66776987edbf206ea8a096a7a2ceaf8d60777687aacf,898d1f5cfd0894dcc428715a24acd1336fc4c3e39d9d658dd7eb975440c5ad52,ef1d35a00080139fde5fa6677934b35165f01a8b738b4a5511d388baf314c256,0.5417631428638953,-0.7358674496241664,0.7226292404799246,-0.08035358418960786,0.9446138484184285,0.8343309190405823
fresh-00,fresh_geometry_ood,a7b6bc976a5c8f795c67bc2d0f6066e66306e3c1b776f49039cb026509ce9be9,86704727a4a9451796fd0d3ed580f7843f76684b902db2b639a4f840b1141a51,4d697eda571fba5f78d36f9950fa0756cc4af3da02838a5bb19c08053b187027,1.254136924117434,-1.0452229575144771,1.1505366351104198,0.4755739408498942,0.6936141309523709,1.1020850403766491
fresh-01,fresh_geometry_ood,82fc604d7fe106a52ad18d79357d57453e999d2f45c5524e7f15da6bc2c92b9b,1760a790b7796988081b0bc9059b4895c5a5fe8145b2e6dba11215b3d8b8b663,1d92b2f0217270b79490cbb54873d4ac91869c5af275ed71953582204b17493e,-1.1415567603876544,0.9661999511607888,1.1220910781297944,-0.5512681466154722,0.6656677929000236,1.0205594653188408
fresh-02,fresh_geometry_ood,92186908010701e4de801dcb09863621056660065f14b89e096cf1e4ccafb302,6c7b99d5f9a65f66e96384b1315b127191dda5dd5961f28e31d0aba0b401bb6a,319d38680f526ff0d45a4d6c7da28347caba274656831b03e044fbfaac13dc11,-1.190517010936209,1.0390253552685924,0.6154232548234245,0.591500039384443,1.478594211574737,1.0729329937595784
fresh-03,fresh_geometry_ood,cc2e826e5bf1b8090ec0871cc0de02097a371727155199d932900f65c9f38f81,4a8f402d541366c378306d5f94c9eee14a1fd01fe2361409e06f7637294f3e0d,846aad7de50d7023c6aa7c2874139ed49756c8bb9f80e622c8d1af915a32efac,1.2208486862236532,1.0908241582403868,1.0877130347811144,0.5114010418461991,0.5571080376403741,1.0847434902608872
