source_split,method,field_count,mean_relative_l2,median_relative_l2,p90_relative_l2,mean_gain_vs_prewhitened_pg4_pct,harm_rate_gt_1pct_vs_prewhitened_pg4
validation,unweighted_pg4,24,0.8820446133613586,0.8768882751464844,0.9208284020423889,-11.067357063293457,1.0
validation,prewhitened_pg4,24,0.797842800617218,0.8117659091949463,0.8638684749603271,0.0,0.0
validation,cg_unrolled4,24,0.25902438163757324,0.2001122236251831,0.3830627501010895,68.46984100341797,0.0
validation,cg_unrolled4_guarded,24,0.25902438163757324,0.2001122236251831,0.3830627501010895,68.46984100341797,0.0
iid,unweighted_pg4,32,0.8838118314743042,0.8821358680725098,0.9157906174659729,-10.188882827758789,1.0
iid,prewhitened_pg4,32,0.8049396872520447,0.8076501488685608,0.8820152282714844,0.0,0.0
iid,cg_unrolled4,32,0.25237223505973816,0.22022376954555511,0.41403689980506897,69.16818237304688,0.0
iid,cg_unrolled4_guarded,32,0.25237223505973816,0.22022376954555511,0.41403689980506897,69.16818237304688,0.0
noise_ood,unweighted_pg4,32,0.8772120475769043,0.8749756813049316,0.9096500277519226,-32.88202667236328,1.0
noise_ood,prewhitened_pg4,32,0.6698289513587952,0.6607369780540466,0.7563519477844238,0.0,0.0
noise_ood,cg_unrolled4,32,1.103125810623169,0.7469595074653625,2.618239402770996,-78.35301208496094,0.59375
noise_ood,cg_unrolled4_guarded,32,0.42144468426704407,0.43186235427856445,0.5811428427696228,38.18883514404297,0.0
family_ood,unweighted_pg4,32,0.9229031801223755,0.9254697561264038,0.9404765963554382,-4.873676300048828,1.0
family_ood,prewhitened_pg4,32,0.8803253173828125,0.8778217434883118,0.9096789956092834,0.0,0.0
family_ood,cg_unrolled4,32,0.4485419988632202,0.4415552020072937,0.5646069049835205,49.196754455566406,0.0
family_ood,cg_unrolled4_guarded,32,0.4485419988632202,0.4415552020072937,0.5646069049835205,49.196754455566406,0.0
layout_ood,unweighted_pg4,32,0.8498464822769165,0.8483614921569824,0.8890320062637329,-16.13919448852539,1.0
layout_ood,prewhitened_pg4,32,0.7355809211730957,0.7273929715156555,0.8295081257820129,0.0,0.0
layout_ood,cg_unrolled4,32,0.3737149238586426,0.32833677530288696,0.6696487665176392,48.66657257080078,0.0625
layout_ood,cg_unrolled4_guarded,32,0.3737149238586426,0.32833677530288696,0.6696487665176392,48.66657257080078,0.0625
joint_ood,unweighted_pg4,32,0.9083656072616577,0.9095358848571777,0.9318495392799377,-14.783584594726562,1.0
joint_ood,prewhitened_pg4,32,0.7943187952041626,0.8016883134841919,0.8658667206764221,0.0,0.0
joint_ood,cg_unrolled4,32,1.999183177947998,1.7251474857330322,3.4562511444091797,-157.41009521484375,0.90625
joint_ood,cg_unrolled4_guarded,32,0.6668033003807068,0.6647611856460571,0.7583319544792175,16.203060150146484,0.0
