rig_id,split,nominal_aperture_radius,nominal_cone_u,nominal_cone_z,nominal_bend,truth_aperture_radius,truth_cone_u,truth_cone_z,truth_bend,truth_fields_are_feature_forbidden,nominal_angles_degrees,truth_angles_degrees
dco-rig-000,train,0.04308570083363163,0.0912073982199328,0.055615511927105295,0.04777301672425309,0.070063673304272,0.1000537650160995,0.06225574326830963,0.05828088661088632,True,6.945028 31.350874 62.389949 94.182143 118.316860 151.352727 179.500000,6.512774 31.804638 64.097191 93.460701 117.177948 150.227417 179.680182
dco-rig-001,train,0.035252349313527824,0.09952420680679165,0.06985554216873804,0.01768567240641056,0.06338638099430068,0.10121565228731495,0.08308052609692214,0.019855144078789553,True,4.704654 29.411142 60.634425 92.453830 120.151144 147.537169 178.711763,4.455184 30.880451 61.950771 92.038426 119.523761 146.533178 178.135117
dco-rig-002,train,0.10024059768210647,0.07048726447703786,0.08296122502547056,0.017391444042881614,0.15609095143262888,0.06794828254862599,0.0941394469756859,0.018441639877345786,True,2.500220 28.200789 67.194550 91.727239 116.748526 143.494703 171.121571,3.055149 29.371914 68.515941 91.773568 115.783572 142.210916 170.409422
dco-rig-003,train,0.06008107747307898,0.08603912967450622,0.05934262403463359,0.04375620339228706,0.1035059141198306,0.09572256469519977,0.05433142872787687,0.045579860007240146,True,0.000000 33.193142 66.504714 91.094029 113.438109 142.144188 178.192619,0.195609 34.496696 67.381798 91.677298 112.772027 141.119563 178.326634
dco-rig-004,train,0.09215502125613775,0.0996117527252538,0.07993635082017964,0.045790005636849734,0.15761536786475341,0.08404386880113765,0.08661400784589962,0.04363123279557154,True,5.010773 31.301042 62.262064 91.864262 124.382015 150.311039 178.839904,5.168595 33.136935 62.723148 91.295899 123.178393 149.212134 178.651424
dco-rig-005,train,0.10257670280587713,0.08961233569494743,0.05963865514212233,0.06273212817020812,0.17238060950358547,0.0869416186330707,0.06989752993907015,0.06775676106213548,True,7.290895 34.531541 65.854864 95.771090 118.502046 147.577225 171.578361,7.348026 35.134197 67.418430 95.496895 117.119861 146.251012 170.909987
dco-rig-006,train,0.10354666391069815,0.054502191726127136,0.06815347546846338,0.048467414064668854,0.1451308042663617,0.055691907022003745,0.0809074860502293,0.05582778226127769,True,0.000000 28.932030 58.102090 86.393607 113.953769 148.163977 175.697807,0.173547 29.715084 58.989458 86.776731 113.194527 146.972994 175.214459
dco-rig-007,train,0.037108005369458893,0.08412559408441127,0.05959505608151079,0.054760632234161395,0.06300229941040321,0.08609235177561736,0.06901897904490363,0.06438236563319288,True,0.000000 32.250477 56.421106 90.014190 120.723240 146.624297 173.873525,0.312366 32.882654 57.581008 90.680119 119.667593 145.391170 173.511090
dco-rig-008,train,0.097395086057027,0.095836542920243,0.036786148778043405,0.06164357869756784,0.15587122093151642,0.0859921671922497,0.044074254573355655,0.06366743625123196,True,8.057469 35.183176 61.753569 91.876020 117.445808 148.728285 179.500000,7.986413 36.430274 62.785670 91.955306 116.214097 147.177954 179.563264
dco-rig-009,train,0.05539164716819907,0.07349704348038524,0.0680986614455608,0.04786310446420842,0.091240897069578,0.08486435388076559,0.06401223484865236,0.053477394700104174,True,8.972365 27.368366 59.554656 94.829538 113.520507 148.709014 175.536823,9.116051 28.063745 60.468962 94.555080 112.847824 147.994021 175.231362
