scenario,method,rig_mean_coverage,observation_weighted_coverage,rig_p10_coverage,hard_quartile_coverage,fraction_rigs_ge_90,radius_proxy_median,radius_proxy_p90,calibration_threshold,fit_slope,fit_r_squared
observable_scale,frame_pooled,0.87336367415466,0.9238939705058802,0.559878048780488,0.5679489869220751,0.6825,3.908624103990517,3.908624103990517,15.277342386295672,,
observable_scale,equal_rig,0.9277138136240453,0.9602762740339742,0.7322435020519835,0.7297983760803145,0.81,4.598213803728196,4.598213803728196,21.143570184796527,,
observable_scale,worst_rig,0.9985376789329448,0.9994213179018108,1.0,0.9941507157317788,0.9975,9.485462930054075,9.485462930054075,89.97400699743004,,
observable_scale,log_ridge_normalized,0.9486931766867991,0.9511666977786074,0.8956107660455487,0.9376033825625639,0.8925,3.4927991526885043,6.077942958737767,11.78168511289221,0.9133311490900765,0.969182007244655
observable_scale,oracle_normalized,0.9506535357098588,0.9507746873249954,0.9263071613459879,0.9500916776653149,0.9975,3.4056659853265447,5.882154655081634,11.108683419324883,,
hidden_scale,frame_pooled,0.8780039475660932,0.9287089858653392,0.5345599057992346,0.5657825623183794,0.72,3.796714973187453,3.796714973187453,14.4150445876258,,
hidden_scale,equal_rig,0.9183026904618731,0.9555975436939065,0.6662790697674419,0.6888074908086245,0.79,4.313686480695308,4.313686480695308,18.60789105373347,,
hidden_scale,worst_rig,0.998618895901055,0.9995639693325097,1.0,0.9944755836042204,0.995,10.711203789422873,10.711203789422873,114.72988661854693,,
hidden_scale,log_ridge_normalized,0.9170504719543007,0.9546164746920534,0.6625115664243225,0.6869546553969108,0.805,4.3195991964726215,4.633237982888105,18.17951481592048,-0.11318609875854568,0.013924162427415898
hidden_scale,oracle_normalized,0.9501317628380764,0.9499836488499691,0.9252336448598131,0.9491298442768503,0.99,3.243185774165611,5.82658789320477,10.961963105275036,,
sign_flip_shift,frame_pooled,0.8944144924270222,0.9405396371469424,0.6047368421052631,0.616382296928083,0.7325,4.185408839417551,4.185408839417551,17.51764715307457,,
sign_flip_shift,equal_rig,0.9410188791661653,0.9695641677963269,0.7918956468045694,0.7720203524907869,0.8425,4.945967244460424,4.945967244460424,24.462591983275438,,
sign_flip_shift,worst_rig,0.999125782286185,0.9996657443687211,1.0,0.9965031291447397,1.0,10.122769904028699,10.122769904028699,102.4704705299092,,
sign_flip_shift,log_ridge_normalized,0.6996000012177714,0.8039405024976324,0.027702702702702704,0.11227913467595688,0.545,3.4161868134714863,6.012382624001373,11.931039870196486,0.8838067128297583,0.9521127593166353
sign_flip_shift,oracle_normalized,0.9470862668210157,0.9472804590444003,0.9212242537479426,0.9488885248645399,0.9825,3.317594099724685,6.1354893005763715,10.967208870522802,,
