strategy,model_seed,block_index,cumulative_epoch,learning_rate,val_rel_l2,train_total,train_field,train_gradient,train_projection,train_boundary
shared_base,20260901,0,1,0.002,0.23273201435804367,0.003053353278664872,0.0017684538470348343,0.0012305170370382258,0.05686187343671918,0.0
shared_base,20260901,0,2,0.0019914448613738106,0.20811033248901367,0.0021331980969989672,0.0012163459265138953,0.001099756924668327,0.03924406822770834,0.0
shared_base,20260901,0,3,0.0019659258262890683,0.19705129712820052,0.0018022649019258097,0.0010324562172172591,0.0010518777860852424,0.03217916786670685,0.0
shared_base,20260901,0,4,0.0019238795325112867,0.20634755492210388,0.0017329726251773536,0.000994465198891703,0.0010438214652822354,0.030662442557513714,0.0
shared_base,20260901,0,5,0.0018660254037844387,0.19422983527183532,0.001709348926669918,0.0009830987866735086,0.0010375490732258187,0.030087212519720196,0.0
shared_base,20260901,0,6,0.001793353340291235,0.19240453764796256,0.001652394505799748,0.000950836724950932,0.001032956528069917,0.028880150197073816,0.0
shared_base,20260901,0,7,0.0017071067811865474,0.1922149859368801,0.0016233356494922192,0.000934662994404789,0.0010279903319315054,0.02826569266617298,0.0
shared_base,20260901,0,8,0.0016087614290087207,0.18997330516576766,0.001603504692320712,0.000923796471033711,0.0010256672539981082,0.027831407636404036,0.0
shared_base,20260901,0,9,0.0015,0.18951133340597154,0.0015956514282152057,0.0009216386824846268,0.0010236653630272484,0.02755864574573934,0.0
shared_base,20260901,0,10,0.00138268343236509,0.18861910849809646,0.0015822347108041868,0.0009156335727311671,0.0010215848800726236,0.027200548024848104,0.0
shared_base,20260901,0,11,0.0012588190451025209,0.18785542696714402,0.001555455639027059,0.0008996339878649451,0.0010179280827287585,0.0266835143789649,0.0
shared_base,20260901,0,12,0.001130526192220052,0.1874388076364994,0.0015426200610818342,0.000893226468906505,0.001016529244952835,0.02637050605844706,0.0
shared_base,20260901,0,13,0.001,0.1869146667420864,0.0015370732071460225,0.0008892273646779359,0.0010154419745958877,0.026299640769138932,0.0
shared_base,20260901,0,14,0.0008694738077799485,0.18712822571396828,0.0015370521519798785,0.0008896447412553244,0.0010148424029466697,0.026281315833330154,0.0
shared_base,20260901,0,15,0.0007411809548974794,0.18831336349248887,0.0015404309233417735,0.0008922851804527455,0.0010149768786504865,0.026317425724118947,0.0
shared_base,20260901,0,16,0.0006173165676349105,0.18916119188070296,0.0015379476913949474,0.0008901240929844789,0.0010151763293833938,0.02630012258887291,0.0
shared_base,20260901,0,17,0.0005000000000000002,0.18630754128098487,0.0015259414445608853,0.0008847232413245365,0.0010133564239367843,0.02598077291622758,0.0
shared_base,20260901,0,18,0.00039123857099127935,0.18571268394589424,0.0015237637242535129,0.0008818494592560455,0.001012369639647659,0.026021495973691345,0.0
shared_base,20260901,0,19,0.00029289321881345256,0.1854647271335125,0.0015156458888668568,0.0008775727328611538,0.0010119975006091409,0.02583167334087193,0.0
shared_base,20260901,0,20,0.00020664665970876497,0.18534977212548256,0.0015107172366697341,0.0008761053381022066,0.0010117451020050794,0.02566012404859066,0.0
shared_base,20260901,0,21,0.0001339745962155613,0.18528213798999787,0.0015123058401513845,0.0008754621652769856,0.0010120960127096624,0.025769608886912466,0.0
shared_base,20260901,0,22,7.612046748871326e-05,0.18546300232410431,0.001506214906112291,0.0008743025246076286,0.001011648697021883,0.025525727681815623,0.0
shared_base,20260901,0,23,3.40741737109318e-05,0.18525669872760772,0.001508322823792696,0.0008741652651224286,0.001011652786110062,0.02563796197064221,0.0
shared_base,20260901,0,24,8.555138626189617e-06,0.18526029512286185,0.0015098713571205734,0.0008737507785554044,0.0010114953431184404,0.02573705865070224,0.0
restart_adam_restart_cosine,20260901,1,25,0.001,0.18869180083274842,0.0016906769247725605,0.0009864199222647586,0.0010315350635210052,0.029023641534149647,0.0
restart_adam_restart_cosine,20260901,1,26,0.0009829629131445341,0.18696646392345428,0.0015585412707878276,0.0009041624143719673,0.0010153696086490527,0.026626724796369673,0.0
restart_adam_restart_cosine,20260901,1,27,0.0009330127018922195,0.1856253445148468,0.0015298902784707026,0.0008863575174473226,0.0010147518187295645,0.026088128006085752,0.0
restart_adam_restart_cosine,20260901,1,28,0.0008535533905932737,0.1851869687438011,0.001518939524248708,0.0008800068317214027,0.001012511424778495,0.0258715673815459,0.0
restart_adam_restart_cosine,20260901,1,29,0.00075,0.18568781837821008,0.0015121014032047242,0.0008753927773796022,0.0010113903947058134,0.02576708937995136,0.0
restart_adam_restart_cosine,20260901,1,30,0.0006294095225512604,0.18463855236768723,0.0015088316082255914,0.0008750312255870086,0.0010110762494150549,0.025623562466353177,0.0
restart_adam_restart_cosine,20260901,1,31,0.0005,0.18522685766220093,0.0015031193470349535,0.0008714797542779707,0.0010096870508277788,0.02552385819144547,0.0
restart_adam_restart_cosine,20260901,1,32,0.0003705904774487397,0.18458980545401574,0.0015022947889519855,0.0008703848005097825,0.001009824999346165,0.025536550534889103,0.0
restart_adam_restart_cosine,20260901,1,33,0.0002500000000000001,0.18449294716119766,0.0014968771603889764,0.000867973554704804,0.0010092283759149724,0.02538981046527624,0.0
restart_adam_restart_cosine,20260901,1,34,0.00014644660940672628,0.1841908037662506,0.001494789944263175,0.0008664772321935743,0.001008646670379676,0.025363757135346533,0.0
restart_adam_restart_cosine,20260901,1,35,6.698729810778065e-05,0.18419484198093414,0.0014935454266378656,0.0008659634229843504,0.0010087699651194272,0.025326481880620123,0.0
restart_adam_restart_cosine,20260901,1,36,1.70370868554659e-05,0.1841483160853386,0.0014931389567209407,0.0008655095123685896,0.0010085348607390189,0.025330263702198864,0.0
restart_adam_restart_cosine,20260901,2,37,0.001,0.19006780982017518,0.0016135762067278846,0.0009388773411046714,0.0010251587329548784,0.027583991596475243,0.0
restart_adam_restart_cosine,20260901,2,38,0.0009829629131445341,0.18613539040088653,0.00154183711274527,0.0008943430744693615,0.0010144084226340055,0.026288252789527178,0.0
restart_adam_restart_cosine,20260901,2,39,0.0009330127018922195,0.1863415941596031,0.0015248293435433879,0.0008841759903589263,0.0010115152974321973,0.025963576138019563,0.0
restart_adam_restart_cosine,20260901,2,40,0.0008535533905932737,0.18581268265843393,0.0015093222114956006,0.0008750164153752849,0.0010095056873979046,0.0256582569796592,0.0
restart_adam_restart_cosine,20260901,2,41,0.00075,0.18422820866107942,0.0014997408754425124,0.0008690714836120606,0.0010095423946040682,0.02547621540725231,0.0
restart_adam_restart_cosine,20260901,2,42,0.0006294095225512604,0.18406858146190644,0.0014903335366398096,0.0008645143112516962,0.0010079008308821358,0.02524355538189411,0.0
restart_adam_restart_cosine,20260901,2,43,0.0005,0.18354569748044014,0.0014891887927660718,0.0008627358125522733,0.001007254095748067,0.025279125571250914,0.0
restart_adam_restart_cosine,20260901,2,44,0.0003705904774487397,0.183524676412344,0.0014852408290607854,0.0008619960426585749,0.0010072296994621866,0.025118860090151428,0.0
restart_adam_restart_cosine,20260901,2,45,0.0002500000000000001,0.18340571001172065,0.001485956582473591,0.0008603101232438348,0.0010065685259178282,0.02524291235022247,0.0
restart_adam_restart_cosine,20260901,2,46,0.00014644660940672628,0.18338887840509416,0.001485423112171702,0.0008600021115853451,0.0010063418143545278,0.02523300047032535,0.0
restart_adam_restart_cosine,20260901,2,47,6.698729810778065e-05,0.18336446285247804,0.001478980021784082,0.0008589184581069276,0.0010063088906463236,0.024965225672349333,0.0
restart_adam_restart_cosine,20260901,2,48,1.70370868554659e-05,0.18335699588060378,0.0014797554904362187,0.000858657417120412,0.0010062283530714923,0.025017534149810672,0.0
restart_adam_restart_cosine,20260901,3,49,0.001,0.18718847185373305,0.0015788097691256553,0.0009194065889460035,0.0010184855927946046,0.026859244937077163,0.0
