rig_id,split_role,geometry_seed,noise_seed,angle,aperture,shear,cancellation,geometry_parameters_sha256
cal-00,safety_calibration,7609997155849311867,5263281590406164891,0.3819941163849595,0.9680519867128059,-0.11971734383477645,0.9273614142747632,498cf155f43dfe1bd8885a7121c89ccba5b2db15f1810c9f29a66bf16e4e651b
cal-01,safety_calibration,4199644839333158221,5206185391501135216,0.05568080192546898,0.9273079466565219,-0.019735755165175617,0.9189213945094248,c9677bcc97b582a214b7c5edc3d6599a61e031d2d9a38b3365a6e5df61179d38
cal-02,safety_calibration,5705968301952704067,1143337200339440319,0.6240348441716604,0.8763485769474147,0.2854772226049257,0.8597808545988357,6ba8a4ccd72bf8fc935fb226487b3e1bb0ad1863f0ceb080af8d49b9dbb89f41
ood-00,fresh_geometry_ood,261650656778808987,3633957969133372062,-0.9936985318712416,0.4918136864190646,-0.5909455450189683,0.5073637316593742,10f82dcd3c5589aa29305c2d7284360b07494efb7ad303e2da7593183cac46d9
ood-01,fresh_geometry_ood,5271999368067173579,788695456606933669,-1.0072632063289717,1.046504883690956,0.45368962806202484,1.0728749855622448,3b2687b4c5f2e3f8c5358fe31dcb158f3c893c8ef37f88a6056418a654ef5bcf
ood-02,fresh_geometry_ood,3702997014722535433,7927248355079105449,1.0083056876278482,0.497312422829558,0.47066084013144033,0.579112136597375,e6bf835fa63eb281569096b1203ebc200e0de50aea4e73b716aa5b7409452119
ood-03,fresh_geometry_ood,833901711198657810,7736451937538377,-1.228835905337532,1.1132499309625792,-0.5176538073541712,0.45111097268688083,d7ef69d2ccd94a9816271e2d472358da160a2cdb5264f531600ad2b07d64ccaf
train-00,train,6496705748041175336,3519195345459027941,0.4877189363139104,0.9093454154312769,0.21889496213486537,0.7054514234029,d66277ba6903f6855fa3281d78842038bcdd6832bf8bc35d7a026b13bc22e976
train-01,train,2933642614195701435,2753699625580139094,0.2846537378255757,0.9685974185257162,0.07884205127194649,0.8280149977290401,385b3f6609b396b5e996f99c3afabac56262daa98daa1a5f4a4b6f7a22b654c7
train-02,train,1569505498976157105,8249994440138973296,0.5753956789805225,0.8259604891973394,-0.2056924564781127,0.7150204281520152,4505e540ef828cff502ee4ec139adba87eff4add031656cf2166b2efdb16a93d
train-03,train,1548113566212364402,2465249974296191381,-0.2532641723791036,0.7857190388529576,-0.08545355479825123,0.8747781793844802,e8c1d8442c4c0487d95e607cac3ba6ae666122596ffdffb754b45d93a1194b1e
train-04,train,8913628022588149949,7723656586186454045,-0.2666403320227083,0.9016029584651148,0.004963610322589185,0.6806067292667184,681734da444f19aa25f34049e5ce6cbf8564f0c0552494e0d84c06a9b1006281
train-05,train,4817813457811399683,6505902321702473104,-0.20256863070782405,0.8745980397652497,-0.2691563948825414,0.8754920171945308,1e469ef1fd35f78be0ab1d7d662e0372e6552c08d8c8f507b818e87ae1bac851
train-06,train,245115022897030499,8828005212512731993,0.6759811913196624,0.7613570920644263,-0.07266844459087263,0.6931581166473768,471e4fdb31ee8e04229b31ee8510f0612f7ad1e22b9a8ffb7c9d3a28371a672e
train-07,train,3499832401830565101,987273323029568159,0.769906578488231,0.6613868494453219,-0.12844102494423848,0.7484384458790972,3a0e26a3553180a32c30e2d67de516d9a33fd14613d2cacd3a0406cd05c151b3
